Date,Order_id,Product
1/1/2018,1,yogurt
1/1/2018,1,pork
1/1/2018,1,sandwich bags
1/1/2018,1,lunch meat
1/1/2018,1,all- purpose
1/1/2018,1,flour
1/1/2018,1,soda
1/1/2018,1,butter
1/1/2018,1,beef
1/1/2018,1,aluminum foil
1/1/2018,1,all- purpose
1/1/2018,1,dinner rolls
1/1/2018,1,shampoo
1/1/2018,1,all- purpose
1/1/2018,1,mixes
1/1/2018,1,soap
1/1/2018,1,laundry detergent
1/1/2018,1,ice cream
1/1/2018,1,dinner rolls
1/1/2018,2,toilet paper
1/1/2018,2,shampoo
1/1/2018,2,hand soap
1/1/2018,2,waffles
1/1/2018,2,cheeses
1/1/2018,2,mixes
1/1/2018,2,milk
1/1/2018,2,sandwich bags
1/1/2018,2,laundry detergent
1/1/2018,2,dishwashing liquid/detergent
1/1/2018,2,waffles
1/1/2018,2,individual meals
1/1/2018,2,hand soap
1/1/2018,2,individual meals
1/1/2018,2,yogurt
1/1/2018,2,cereals
1/1/2018,2,shampoo
1/1/2018,2,aluminum foil
1/1/2018,2,tortillas
1/1/2018,2,mixes
1/2/2018,3,soda
1/2/2018,3,pork
1/2/2018,3,soap
1/2/2018,3,ice cream
1/2/2018,3,toilet paper
1/2/2018,3,dinner rolls
1/2/2018,3,hand soap
1/2/2018,3,spaghetti sauce
1/2/2018,3,milk
1/2/2018,3,ketchup
1/2/2018,3,sandwich loaves
1/2/2018,3,poultry
1/2/2018,3,toilet paper
1/2/2018,3,ice cream
1/2/2018,3,ketchup
1/2/2018,3,laundry detergent
1/2/2018,3,spaghetti sauce
1/2/2018,3,bagels
1/2/2018,3,soap
1/2/2018,3,ice cream
1/2/2018,3,shampoo
1/2/2018,3,lunch meat
1/2/2018,3,cereals
1/2/2018,3,spaghetti sauce
1/2/2018,3,pork
1/2/2018,3,cheeses
1/2/2018,3,eggs
1/2/2018,4,cereals
1/2/2018,4,juice
1/2/2018,4,lunch meat
1/2/2018,4,soda
1/2/2018,4,toilet paper
1/2/2018,4,all- purpose
1/2/2018,5,sandwich loaves
1/2/2018,5,pasta
1/2/2018,5,tortillas
1/2/2018,5,mixes
1/2/2018,5,hand soap
1/2/2018,5,toilet paper
1/2/2018,5,paper towels
1/2/2018,5,flour
1/2/2018,5,pork
1/2/2018,5,poultry
1/2/2018,5,eggs
1/2/2018,5,pork
1/2/2018,5,spaghetti sauce
1/2/2018,5,milk
1/2/2018,5,waffles
1/2/2018,5,individual meals
1/2/2018,5,dinner rolls
1/2/2018,5,all- purpose
1/2/2018,5,soda
1/2/2018,5,yogurt
1/2/2018,6,laundry detergent
1/2/2018,6,toilet paper
1/2/2018,6,eggs
1/2/2018,6,toilet paper
1/2/2018,6,bagels
1/2/2018,6,dishwashing liquid/detergent
1/2/2018,6,cereals
1/2/2018,6,paper towels
1/2/2018,6,laundry detergent
1/2/2018,6,butter
1/2/2018,6,cereals
1/2/2018,6,bagels
1/2/2018,6,paper towels
1/2/2018,6,shampoo
1/2/2018,6,toilet paper
1/2/2018,6,soap
1/2/2018,6,soap
1/2/2018,6,pasta
1/2/2018,6,coffee/tea
1/2/2018,6,poultry
1/2/2018,6,bagels
1/2/2018,6,aluminum foil
1/2/2018,6,butter
1/2/2018,6,spaghetti sauce
1/2/2018,6,ketchup
1/2/2018,6,all- purpose
1/2/2018,6,milk
1/3/2018,7,individual meals
1/3/2018,7,paper towels
1/3/2018,7,tortillas
1/3/2018,7,milk
1/3/2018,7,ice cream
1/3/2018,7,juice
1/3/2018,7,dishwashing liquid/detergent
1/3/2018,7,soap
1/3/2018,7,sandwich bags
1/3/2018,7,pasta
1/3/2018,7,ketchup
1/3/2018,7,all- purpose
1/3/2018,7,yogurt
1/3/2018,7,mixes
1/3/2018,7,mixes
1/3/2018,7,toilet paper
1/3/2018,7,beef
1/3/2018,7,sandwich bags
1/3/2018,7,eggs
1/3/2018,7,spaghetti sauce
1/3/2018,7,fruits
1/3/2018,7,toilet paper
1/4/2018,8,ice cream
1/4/2018,8,juice
1/4/2018,8,paper towels
1/4/2018,8,waffles
1/4/2018,8,soda
1/4/2018,8,cheeses
1/4/2018,8,poultry
1/4/2018,8,toilet paper
1/4/2018,9,juice
1/4/2018,9,poultry
1/4/2018,9,coffee/tea
1/4/2018,9,coffee/tea
1/4/2018,9,dishwashing liquid/detergent
1/5/2018,10,ketchup
1/5/2018,10,coffee/tea
1/5/2018,10,toilet paper
1/5/2018,10,pork
1/5/2018,10,flour
1/5/2018,10,milk
1/5/2018,10,soda
1/5/2018,10,dishwashing liquid/detergent
1/5/2018,10,eggs
1/5/2018,10,tortillas
1/5/2018,10,tortillas
1/5/2018,10,fruits
1/5/2018,10,sugar
1/5/2018,10,soap
1/5/2018,10,dishwashing liquid/detergent
1/5/2018,10,juice
1/5/2018,10,sandwich loaves
1/5/2018,10,poultry
1/5/2018,10,eggs
1/5/2018,10,flour
1/5/2018,10,bagels
1/5/2018,10,soda
1/5/2018,10,bagels
1/5/2018,10,soda
1/5/2018,10,beef
1/5/2018,10,coffee/tea
1/5/2018,10,dishwashing liquid/detergent
1/5/2018,10,cheeses
1/5/2018,10,beef
1/5/2018,10,soap
1/5/2018,10,lunch meat
1/5/2018,10,pork
1/5/2018,10,waffles
1/5/2018,11,sandwich loaves
1/5/2018,11,ice cream
1/5/2018,11,soda
1/5/2018,11,bagels
1/5/2018,11,dishwashing liquid/detergent
1/5/2018,11,eggs
1/5/2018,11,sugar
1/5/2018,11,waffles
1/5/2018,11,individual meals
1/5/2018,11,toilet paper
1/5/2018,11,pasta
1/5/2018,11,sandwich loaves
1/5/2018,11,cheeses
1/5/2018,11,hand soap
1/5/2018,11,ketchup
1/5/2018,11,poultry
1/5/2018,11,dinner rolls
1/5/2018,11,dishwashing liquid/detergent
1/5/2018,11,coffee/tea
1/5/2018,11,milk
1/5/2018,11,shampoo
1/5/2018,11,ketchup
1/5/2018,11,sandwich loaves
1/5/2018,11,hand soap
1/5/2018,11,bagels
